Date,Open,High,Low,Close,Volume_base,Volume_quote,compound,positive,negative,neutral,comp_score
2022-05-25 12:00:00,2761.29,2762.35,2754.51,2756.95,24.4363,67395.505013,-0.7096,0.069,0.219,0.712,0
2022-05-25 12:15:00,2754.43,2763.74,2740.02,2763.74,117.2693,323021.809795,-0.7096,0.069,0.219,0.712,0
2022-05-25 12:30:00,2763.61,2766.29,2757.31,2757.31,38.2896,105815.352851,-0.7096,0.069,0.219,0.712,0
2022-05-25 12:45:00,2756.64,2770.0,2753.2,2766.36,24.665,68137.854382,-0.7096,0.069,0.219,0.712,0
2022-05-25 13:00:00,2765.37,2778.26,2764.72,2777.23,36.49,101225.634926,-0.7096,0.069,0.219,0.712,0
2022-05-25 13:15:00,2776.51,2781.37,2775.07,2776.32,9.7675,27134.572755,-0.7096,0.069,0.219,0.712,0
2022-05-25 13:30:00,2777.11,2780.3,2764.01,2764.83,25.9585,71960.633697,-0.7096,0.069,0.219,0.712,0
2022-05-25 13:45:00,2767.04,2807.0,2765.76,2798.79,66.9304,186573.711345,-0.7096,0.069,0.219,0.712,0
2022-05-25 14:00:00,2800.0,2806.78,2779.47,2793.95,35.4801,99027.934184,-0.7096,0.069,0.219,0.712,0
2022-05-25 14:15:00,2791.96,2802.5,2785.63,2801.22,101.3169,282934.464385,-0.7096,0.069,0.219,0.712,0
2022-05-25 14:30:00,2802.94,2804.96,2795.19,2796.02,24.6098,68880.473884,0.0,0.0,0.0,1.0,1
2022-05-25 14:45:00,2793.33,2793.33,2776.2,2778.1,10.5839,29475.493531,0.0,0.0,0.0,1.0,1
2022-05-25 15:00:00,2779.06,2782.11,2770.22,2780.32,20.667,57362.103788,0.0,0.0,0.0,1.0,1
2022-05-25 15:15:00,2780.94,2788.19,2771.34,2787.15,17.245,47875.416749,0.0,0.0,0.0,1.0,1
2022-05-25 15:30:00,2787.98,2788.59,2778.71,2783.73,5.4552,15184.488261,0.0,0.0,0.0,1.0,1
2022-05-25 15:45:00,2778.0,2782.27,2765.0,2776.78,17.7066,49079.713551,0.0,0.0,0.0,1.0,1
2022-05-25 16:00:00,2775.19,2781.79,2771.93,2781.78,8.3543,23199.128288,-0.4019,0.054,0.13,0.817,0
2022-05-25 16:15:00,2774.78,2780.12,2762.9,2778.01,10.2961,28531.656331,-0.4019,0.054,0.13,0.817,0
2022-05-25 16:30:00,2780.0,2780.66,2752.99,2760.0,24.4318,67575.229279,-0.4019,0.054,0.13,0.817,0
2022-05-25 16:45:00,2761.15,2761.93,2753.06,2761.93,5.1467,14187.954661,-0.4019,0.054,0.13,0.817,0
2022-05-25 17:00:00,2763.61,2768.11,2760.0,2768.11,4.9916,13792.921264,-0.4019,0.054,0.13,0.817,0
2022-05-25 17:15:00,2766.08,2771.28,2764.47,2769.0,7.517,20805.246928,-0.4019,0.054,0.13,0.817,0
2022-05-25 17:30:00,2770.19,2773.7,2770.01,2773.69,8.202,22734.013273,-0.4019,0.054,0.13,0.817,0
2022-05-25 17:45:00,2773.88,2779.87,2772.54,2779.87,9.169,25451.809907,-0.4019,0.054,0.13,0.817,0
2022-05-25 18:00:00,2780.0,2781.0,2773.33,2777.06,9.4613,26284.689681,-0.4019,0.054,0.13,0.817,0
2022-05-25 18:15:00,2773.33,2794.14,2749.95,2784.47,144.3533,401646.123465,-0.4019,0.054,0.13,0.817,0
2022-05-25 18:30:00,2784.29,2790.6,2777.24,2788.95,35.3877,98570.831756,-0.4019,0.054,0.13,0.817,0
2022-05-25 18:45:00,2788.86,2796.5,2779.05,2779.26,33.0645,92303.25227,-0.4019,0.054,0.13,0.817,0
2022-05-25 19:00:00,2779.84,2785.69,2776.32,2784.17,37.3668,103958.361304,-0.4019,0.054,0.13,0.817,0
2022-05-25 19:15:00,2783.89,2788.53,2778.28,2778.28,16.9528,47218.098094,-0.4019,0.054,0.13,0.817,0
2022-05-25 19:30:00,2778.86,2778.86,2766.7,2767.74,6.1843,17128.817455,-0.4019,0.054,0.13,0.817,0
2022-05-25 19:45:00,2768.16,2770.39,2764.0,2769.75,2.8114,7779.983208,-0.4019,0.054,0.13,0.817,0
2022-05-25 20:00:00,2768.14,2770.96,2747.96,2750.21,25.4152,70069.935313,-0.4019,0.054,0.13,0.817,0
2022-05-25 20:15:00,2750.48,2755.09,2747.18,2755.09,0.3824,1052.739788,-0.4019,0.054,0.13,0.817,0
2022-05-25 20:30:00,2753.71,2758.68,2751.59,2751.85,9.6599,26616.786219,-0.4019,0.054,0.13,0.817,0
2022-05-25 20:45:00,2754.11,2758.38,2754.1,2756.67,2.2935,6319.481918,-0.4019,0.054,0.13,0.817,0
2022-05-25 21:00:00,2756.86,2766.66,2756.86,2763.19,7.5744,20922.339317,-0.4019,0.054,0.13,0.817,0
2022-05-25 21:15:00,2763.41,2764.56,2753.33,2754.73,4.0298,11130.585361,-0.4019,0.054,0.13,0.817,0
2022-05-25 21:30:00,2753.57,2766.66,2751.83,2766.6,3.9774,10961.403301,-0.4019,0.054,0.13,0.817,0
2022-05-25 21:45:00,2768.19,2773.33,2760.01,2764.99,2.2457,6208.38062,-0.4019,0.054,0.13,0.817,0
2022-05-25 22:00:00,2766.53,2774.0,2766.53,2774.0,1.3389,3709.066258,-0.4019,0.054,0.13,0.817,0
2022-05-25 22:15:00,2774.42,2777.18,2766.66,2766.66,4.9298,13655.554908,-0.4019,0.054,0.13,0.817,0
2022-05-25 22:30:00,2766.0,2768.91,2764.98,2766.19,1.2826,3548.54229,-0.4019,0.054,0.13,0.817,0
2022-05-25 22:45:00,2763.18,2770.5,2761.9,2768.47,1.8069,4997.74957,-0.4019,0.054,0.13,0.817,0
2022-05-25 23:00:00,2764.46,2764.86,2762.79,2764.48,1.2853,3551.809188,-0.4019,0.054,0.13,0.817,0
2022-05-25 23:15:00,2767.09,2767.09,2755.3,2755.3,3.5818,9879.780707,-0.4019,0.054,0.13,0.817,0
2022-05-25 23:30:00,2756.81,2756.81,2740.25,2748.61,17.3301,47664.930537,-0.4019,0.054,0.13,0.817,0
2022-05-25 23:45:00,2748.09,2748.09,2733.33,2733.33,14.1382,38704.96736,-0.4019,0.054,0.13,0.817,0
2022-05-26 00:00:00,2736.44,2738.18,2733.2,2736.95,7.0994,19416.710978,-0.4019,0.054,0.13,0.817,0
2022-05-26 00:15:00,2735.05,2753.33,2735.05,2751.13,19.3099,52987.388313,-0.4019,0.054,0.13,0.817,0
2022-05-26 00:30:00,2749.09,2760.06,2745.75,2760.06,10.0591,27699.697501,-0.4019,0.054,0.13,0.817,0
2022-05-26 00:45:00,2760.63,2765.72,2757.95,2760.5,15.8991,43930.13012,-0.4019,0.054,0.13,0.817,0
2022-05-26 01:00:00,2761.15,2761.76,2752.0,2755.12,7.6194,20997.597335,-0.4019,0.054,0.13,0.817,0
2022-05-26 01:15:00,2755.31,2755.55,2747.45,2747.45,3.6906,10160.93016,-0.4019,0.054,0.13,0.817,0
2022-05-26 01:30:00,2748.07,2754.75,2745.34,2752.75,10.0952,27766.191208,-0.4019,0.054,0.13,0.817,0
2022-05-26 01:45:00,2753.89,2754.55,2743.11,2743.11,11.5526,31752.071619,-0.4019,0.054,0.13,0.817,0
2022-05-26 02:00:00,2743.58,2744.13,2740.13,2740.13,12.0424,33028.259251,-0.4019,0.054,0.13,0.817,0
2022-05-26 02:15:00,2743.14,2752.92,2743.14,2747.72,8.9757,24679.0027,-0.4019,0.054,0.13,0.817,0
2022-05-26 02:30:00,2750.78,2755.67,2747.27,2748.22,23.8461,65605.294855,-0.4019,0.054,0.13,0.817,0
2022-05-26 02:45:00,2749.93,2753.33,2746.41,2748.87,17.534,48212.812154,-0.4019,0.054,0.13,0.817,0
2022-05-26 03:00:00,2749.88,2756.83,2749.54,2750.25,17.321,47691.467686,-0.4019,0.054,0.13,0.817,0
2022-05-26 03:15:00,2751.17,2751.8,2735.48,2736.86,14.6682,40210.966789,-0.4019,0.054,0.13,0.817,0
2022-05-26 03:30:00,2735.55,2739.52,2729.0,2734.18,22.8982,62558.959135,-0.4019,0.054,0.13,0.817,0
2022-05-26 03:45:00,2733.56,2743.15,2733.0,2739.47,17.7988,48759.721709,-0.4019,0.054,0.13,0.817,0
2022-05-26 04:00:00,2740.36,2747.85,2738.8,2747.33,14.5106,39822.839764,-0.4019,0.054,0.13,0.817,0
2022-05-26 04:15:00,2745.93,2748.17,2742.12,2746.19,13.0291,35775.586083,-0.4019,0.054,0.13,0.817,0
2022-05-26 04:30:00,2745.9,2746.92,2740.0,2740.0,5.9944,16451.084618,-0.4019,0.054,0.13,0.817,0
2022-05-26 04:45:00,2739.05,2744.88,2738.54,2741.04,9.1378,25058.689395,-0.4019,0.054,0.13,0.817,0
2022-05-26 05:00:00,2740.33,2741.17,2734.75,2737.92,21.0211,57558.54031,-0.4019,0.054,0.13,0.817,0
2022-05-26 05:15:00,2738.77,2748.18,2735.26,2743.59,23.8503,65417.413537,-0.4019,0.054,0.13,0.817,0
2022-05-26 05:30:00,2744.06,2744.06,2728.0,2733.02,13.2326,36214.484836,-0.4019,0.054,0.13,0.817,0
2022-05-26 05:45:00,2734.39,2734.94,2722.81,2726.81,16.0451,43735.349351,-0.4019,0.054,0.13,0.817,0
2022-05-26 06:00:00,2727.53,2730.49,2718.42,2722.79,85.4771,232757.853015,-0.4019,0.054,0.13,0.817,0
2022-05-26 06:15:00,2721.96,2727.91,2708.88,2712.67,106.8925,290507.919367,-0.4019,0.054,0.13,0.817,0
2022-05-26 06:30:00,2707.99,2717.91,2700.0,2710.88,84.6108,229056.419139,-0.4019,0.054,0.13,0.817,0
2022-05-26 06:45:00,2709.84,2717.54,2705.01,2716.01,5.6397,15300.628384,-0.4019,0.054,0.13,0.817,0
2022-05-26 07:00:00,2714.72,2715.58,2706.75,2714.57,47.406,128611.486054,0.1779,0.05,0.0,0.95,1
2022-05-26 07:15:00,2714.05,2715.18,2698.07,2698.07,60.7869,164645.8025,0.1779,0.05,0.0,0.95,1
2022-05-26 07:30:00,2698.18,2707.01,2693.31,2706.95,39.2292,105863.666596,0.1779,0.05,0.0,0.95,1
